,count,organism_name,taxid,sample
815,1247,bacteroidaceae,815,Neg1rep1
541000,1212,ruminococcaceae,541000,Neg1rep1
9604,986,hominidae,9604,Neg1rep1
186806,409,eubacteriaceae,186806,Neg1rep1
186803,245,lachnospiraceae,186803,Neg1rep1
31979,110,clostridiaceae,31979,Neg1rep1
171550,82,rikenellaceae,171550,Neg1rep1
31977,70,veillonellaceae,31977,Neg1rep1
31953,54,bifidobacteriaceae,31953,Neg1rep1
84107,31,coriobacteriaceae,84107,Neg1rep1
543,23,enterobacteriaceae,543,Neg1rep1
135621,12,pseudomonadaceae,135621,Neg1rep1
1300,9,streptococcaceae,1300,Neg1rep1
33958,7,lactobacillaceae,33958,Neg1rep1
75682,6,oxalobacteraceae,75682,Neg1rep1
49546,5,flavobacteriaceae,49546,Neg1rep1
194924,3,desulfovibrionaceae,194924,Neg1rep1
186804,2,peptostreptococcaceae,186804,Neg1rep1
433,1,acetobacteraceae,433,Neg1rep1
407032,1,nitrospinaceae,407032,Neg1rep1
137,1,spirochaetaceae,137,Neg1rep1
541000,4677,ruminococcaceae,541000,VK3rep1
815,4158,bacteroidaceae,815,VK3rep1
186803,1921,lachnospiraceae,186803,VK3rep1
186806,1888,eubacteriaceae,186806,VK3rep1
9604,1772,hominidae,9604,VK3rep1
84107,456,coriobacteriaceae,84107,VK3rep1
31953,405,bifidobacteriaceae,31953,VK3rep1
31979,181,clostridiaceae,31979,VK3rep1
31977,133,veillonellaceae,31977,VK3rep1
128827,79,erysipelotrichaceae,128827,VK3rep1
543,71,enterobacteriaceae,543,VK3rep1
1300,61,streptococcaceae,1300,VK3rep1
171550,50,rikenellaceae,171550,VK3rep1
33958,34,lactobacillaceae,33958,VK3rep1
171552,24,prevotellaceae,171552,VK3rep1
194924,23,desulfovibrionaceae,194924,VK3rep1
4893,11,saccharomycetaceae,4893,VK3rep1
2049,8,actinomycetaceae,2049,VK3rep1
267894,8,psychromonadaceae,267894,VK3rep1
49546,8,flavobacteriaceae,49546,VK3rep1
186822,8,paenibacillaceae,186822,VK3rep1
712,8,pasteurellaceae,712,VK3rep1
186823,6,alicyclobacillaceae,186823,VK3rep1
186817,6,bacillaceae,186817,VK3rep1
675071,6,virgaviridae,675071,VK3rep1
1129771,5,leptotrichiaceae,1129771,VK3rep1
171551,5,porphyromonadaceae,171551,VK3rep1
1570339,4,peptoniphilaceae,1570339,VK3rep1
72275,4,alteromonadaceae,72275,VK3rep1
1328881,3,candidatus midichloriaceae,1328881,VK3rep1
31957,3,propionibacteriaceae,31957,VK3rep1
186807,3,peptococcaceae,186807,VK3rep1
188709,3,thermotogaceae,188709,VK3rep1
119045,2,methylobacteriaceae,119045,VK3rep1
267891,2,moritellaceae,267891,VK3rep1
267890,2,shewanellaceae,267890,VK3rep1
203492,2,fusobacteriaceae,203492,VK3rep1
563798,2,cyclobacteriaceae,563798,VK3rep1
589343,2,geminigeraceae,589343,VK3rep1
649777,2,synergistaceae,649777,VK3rep1
186820,2,listeriaceae,186820,VK3rep1
972,2,halanaerobiaceae,972,VK3rep1
1131492,2,aspergillaceae,1131492,VK3rep1
81850,2,leuconostocaceae,81850,VK3rep1
481,2,neisseriaceae,481,VK3rep1
85025,2,nocardiaceae,85025,VK3rep1
34064,1,francisellaceae,34064,VK3rep1
1653,1,corynebacteriaceae,1653,VK3rep1
558314,1,desulfurobacteriaceae,558314,VK3rep1
452340,1,gloeophyllaceae,452340,VK3rep1
407032,1,nitrospinaceae,407032,VK3rep1
213468,1,syntrophaceae,213468,VK3rep1
267893,1,idiomarinaceae,267893,VK3rep1
224464,1,kofleriaceae,224464,VK3rep1
89373,1,cytophagaceae,89373,VK3rep1
196117,1,methanocaldococcaceae,196117,VK3rep1
45401,1,hyphomicrobiaceae,45401,VK3rep1
186827,1,aerococcaceae,186827,VK3rep1
72293,1,helicobacteraceae,72293,VK3rep1
76892,1,caulobacteraceae,76892,VK3rep1
80864,1,comamonadaceae,80864,VK3rep1
186804,1,peptostreptococcaceae,186804,VK3rep1
81852,1,enterococcaceae,81852,VK3rep1
433,1,acetobacteraceae,433,VK3rep1
9604,6430,hominidae,9604,unenriched1
541000,6304,ruminococcaceae,541000,unenriched1
815,4517,bacteroidaceae,815,unenriched1
186806,2590,eubacteriaceae,186806,unenriched1
186803,2242,lachnospiraceae,186803,unenriched1
31953,593,bifidobacteriaceae,31953,unenriched1
84107,565,coriobacteriaceae,84107,unenriched1
31979,415,clostridiaceae,31979,unenriched1
31977,246,veillonellaceae,31977,unenriched1
171550,81,rikenellaceae,171550,unenriched1
128827,54,erysipelotrichaceae,128827,unenriched1
1300,43,streptococcaceae,1300,unenriched1
33958,32,lactobacillaceae,33958,unenriched1
171552,28,prevotellaceae,171552,unenriched1
4893,18,saccharomycetaceae,4893,unenriched1
186823,13,alicyclobacillaceae,186823,unenriched1
675071,12,virgaviridae,675071,unenriched1
89373,11,cytophagaceae,89373,unenriched1
171551,10,porphyromonadaceae,171551,unenriched1
203492,9,fusobacteriaceae,203492,unenriched1
135621,8,pseudomonadaceae,135621,unenriched1
2062,7,streptomycetaceae,2062,unenriched1
69277,6,phyllobacteriaceae,69277,unenriched1
1570339,6,peptoniphilaceae,1570339,unenriched1
995019,6,sutterellaceae,995019,unenriched1
194924,5,desulfovibrionaceae,194924,unenriched1
186804,5,peptostreptococcaceae,186804,unenriched1
137,5,spirochaetaceae,137,unenriched1
126,5,planctomycetaceae,126,unenriched1
83763,5,succinivibrionaceae,83763,unenriched1
543,5,enterobacteriaceae,543,unenriched1
186817,5,bacillaceae,186817,unenriched1
481,4,neisseriaceae,481,unenriched1
83676,4,nocardiopsaceae,83676,unenriched1
81852,4,enterococcaceae,81852,unenriched1
72294,4,campylobacteraceae,72294,unenriched1
580372,4,mariprofundaceae,580372,unenriched1
49546,4,flavobacteriaceae,49546,unenriched1
31957,4,propionibacteriaceae,31957,unenriched1
41294,4,bradyrhizobiaceae,41294,unenriched1
186822,4,paenibacillaceae,186822,unenriched1
204434,3,acidobacteriaceae,204434,unenriched1
181550,3,trichomonadidae,181550,unenriched1
2092,3,mycoplasmataceae,2092,unenriched1
267894,3,psychromonadaceae,267894,unenriched1
10501,3,phycodnaviridae,10501,unenriched1
84566,3,sphingobacteriaceae,84566,unenriched1
191394,3,deferribacteraceae,191394,unenriched1
5020,3,phaeosphaeriaceae,5020,unenriched1
452340,2,gloeophyllaceae,452340,unenriched1
145357,2,dermacoccaceae,145357,unenriched1
146292,2,verrucariaceae,146292,unenriched1
213421,2,desulfuromonadaceae,213421,unenriched1
766764,2,debaryomycetaceae,766764,unenriched1
291294,2,tetrahymenidae,291294,unenriched1
186807,2,peptococcaceae,186807,unenriched1
563798,2,cyclobacteriaceae,563798,unenriched1
49,2,polyangiaceae,49,unenriched1
119045,2,methylobacteriaceae,119045,unenriched1
43219,2,herpotrichiellaceae,43219,unenriched1
712,2,pasteurellaceae,712,unenriched1
2146,2,acholeplasmataceae,2146,unenriched1
5351,2,tricholomataceae,5351,unenriched1
34384,2,arthrodermataceae,34384,unenriched1
117942,2,desulfurellaceae,117942,unenriched1
28556,2,pleosporaceae,28556,unenriched1
41297,2,sphingomonadaceae,41297,unenriched1
45404,2,beijerinckiaceae,45404,unenriched1
64898,2,aquificaceae,64898,unenriched1
2236,2,halobacteriaceae,2236,unenriched1
110618,2,nectriaceae,110618,unenriched1
5654,2,trypanosomatidae,5654,unenriched1
2049,1,actinomycetaceae,2049,unenriched1
1217,1,prochlorococcaceae,1217,unenriched1
316606,1,segniliparaceae,316606,unenriched1
543314,1,clostridiales family xiii. incertae sedis,543314,unenriched1
649777,1,synergistaceae,649777,unenriched1
972,1,halanaerobiaceae,972,unenriched1
563835,1,chitinophagaceae,563835,unenriched1
641,1,vibrionaceae,641,unenriched1
468,1,moraxellaceae,468,unenriched1
433,1,acetobacteraceae,433,unenriched1
1198451,1,methanoregulaceae,1198451,unenriched1
1202464,1,dehalococcoidaceae,1202464,unenriched1
1240483,1,orbaceae,1240483,unenriched1
2070,1,pseudonocardiaceae,2070,unenriched1
206379,1,nitrosomonadaceae,206379,unenriched1
267893,1,idiomarinaceae,267893,unenriched1
32011,1,methylophilaceae,32011,unenriched1
85026,1,gordoniaceae,85026,unenriched1
80864,1,comamonadaceae,80864,unenriched1
76892,1,caulobacteraceae,76892,unenriched1
186814,1,thermoanaerobacteraceae,186814,unenriched1
186820,1,listeriaceae,186820,unenriched1
33184,1,onygenaceae,33184,unenriched1
186827,1,aerococcaceae,186827,unenriched1
267888,1,pseudoalteromonadaceae,267888,unenriched1
188709,1,thermotogaceae,188709,unenriched1
188786,1,thermaceae,188786,unenriched1
196137,1,methanospirillaceae,196137,unenriched1
5332,1,schizophyllaceae,5332,unenriched1
213119,1,desulfobacteraceae,213119,unenriched1
216572,1,oscillospiraceae,216572,unenriched1
92712,1,simkaniaceae,92712,unenriched1
9604,6414,hominidae,9604,unenriched3
541000,6068,ruminococcaceae,541000,unenriched3
815,4367,bacteroidaceae,815,unenriched3
186806,2519,eubacteriaceae,186806,unenriched3
186803,2167,lachnospiraceae,186803,unenriched3
31953,586,bifidobacteriaceae,31953,unenriched3
84107,505,coriobacteriaceae,84107,unenriched3
31979,446,clostridiaceae,31979,unenriched3
31977,218,veillonellaceae,31977,unenriched3
171550,109,rikenellaceae,171550,unenriched3
1300,54,streptococcaceae,1300,unenriched3
128827,44,erysipelotrichaceae,128827,unenriched3
33958,39,lactobacillaceae,33958,unenriched3
171552,32,prevotellaceae,171552,unenriched3
4893,26,saccharomycetaceae,4893,unenriched3
89373,16,cytophagaceae,89373,unenriched3
675071,13,virgaviridae,675071,unenriched3
1570339,11,peptoniphilaceae,1570339,unenriched3
135621,10,pseudomonadaceae,135621,unenriched3
186823,9,alicyclobacillaceae,186823,unenriched3
203492,9,fusobacteriaceae,203492,unenriched3
137,8,spirochaetaceae,137,unenriched3
186817,7,bacillaceae,186817,unenriched3
194924,7,desulfovibrionaceae,194924,unenriched3
995019,6,sutterellaceae,995019,unenriched3
41297,6,sphingomonadaceae,41297,unenriched3
909930,5,acidaminococcaceae,909930,unenriched3
171551,5,porphyromonadaceae,171551,unenriched3
558415,5,marinilabiliaceae,558415,unenriched3
39782,5,blattabacteriaceae,39782,unenriched3
83763,5,succinivibrionaceae,83763,unenriched3
5215,5,tremellaceae,5215,unenriched3
641,4,vibrionaceae,641,unenriched3
204431,4,fibrobacteraceae,204431,unenriched3
186822,4,paenibacillaceae,186822,unenriched3
543,4,enterobacteriaceae,543,unenriched3
204434,4,acidobacteriaceae,204434,unenriched3
110618,3,nectriaceae,110618,unenriched3
81850,3,leuconostocaceae,81850,unenriched3
49546,3,flavobacteriaceae,49546,unenriched3
41295,3,rhodospirillaceae,41295,unenriched3
712,3,pasteurellaceae,712,unenriched3
267888,2,pseudoalteromonadaceae,267888,unenriched3
267894,2,psychromonadaceae,267894,unenriched3
481,2,neisseriaceae,481,unenriched3
186807,2,peptococcaceae,186807,unenriched3
186804,2,peptostreptococcaceae,186804,unenriched3
543314,2,clostridiales family xiii. incertae sedis,543314,unenriched3
563798,2,cyclobacteriaceae,563798,unenriched3
563835,2,chitinophagaceae,563835,unenriched3
170,2,leptospiraceae,170,unenriched3
1202464,2,dehalococcoidaceae,1202464,unenriched3
5809,2,sarcocystidae,5809,unenriched3
126,2,planctomycetaceae,126,unenriched3
31957,2,propionibacteriaceae,31957,unenriched3
72294,2,campylobacteraceae,72294,unenriched3
75682,2,oxalobacteraceae,75682,unenriched3
34397,2,clavicipitaceae,34397,unenriched3
80864,2,comamonadaceae,80864,unenriched3
81852,2,enterococcaceae,81852,unenriched3
69657,2,hyphomonadaceae,69657,unenriched3
1217,2,prochlorococcaceae,1217,unenriched3
69277,2,phyllobacteriaceae,69277,unenriched3
85017,2,promicromonosporaceae,85017,unenriched3
2267,2,thermoproteaceae,2267,unenriched3
28556,2,pleosporaceae,28556,unenriched3
27999,2,perkinsidae,27999,unenriched3
93809,2,calosphaeriaceae,93809,unenriched3
766764,1,debaryomycetaceae,766764,unenriched3
563843,1,rhodothermaceae,563843,unenriched3
2092,1,mycoplasmataceae,2092,unenriched3
2062,1,streptomycetaceae,2062,unenriched3
1762,1,mycobacteriaceae,1762,unenriched3
1331736,1,ruaniaceae,1331736,unenriched3
1508635,1,roseiflexaceae,1508635,unenriched3
64898,1,aquificaceae,64898,unenriched3
332161,1,solibacteraceae,332161,unenriched3
589343,1,geminigeraceae,589343,unenriched3
118882,1,brucellaceae,118882,unenriched3
216572,1,oscillospiraceae,216572,unenriched3
213422,1,geobacteraceae,213422,unenriched3
146292,1,verrucariaceae,146292,unenriched3
92712,1,simkaniaceae,92712,unenriched3
90964,1,staphylococcaceae,90964,unenriched3
85025,1,nocardiaceae,85025,unenriched3
183710,1,deinococcaceae,183710,unenriched3
85020,1,dermabacteraceae,85020,unenriched3
506,1,alcaligenaceae,506,unenriched3
83676,1,nocardiopsaceae,83676,unenriched3
186820,1,listeriaceae,186820,unenriched3
188709,1,thermotogaceae,188709,unenriched3
191394,1,deferribacteraceae,191394,unenriched3
76892,1,caulobacteraceae,76892,unenriched3
200667,1,flammeovirgaceae,200667,unenriched3
868,1,cardiobacteriaceae,868,unenriched3
213421,1,desulfuromonadaceae,213421,unenriched3
72293,1,helicobacteraceae,72293,unenriched3
9604,6645,hominidae,9604,unenriched2
541000,6084,ruminococcaceae,541000,unenriched2
815,4255,bacteroidaceae,815,unenriched2
186806,2562,eubacteriaceae,186806,unenriched2
186803,2127,lachnospiraceae,186803,unenriched2
31953,600,bifidobacteriaceae,31953,unenriched2
84107,513,coriobacteriaceae,84107,unenriched2
31979,427,clostridiaceae,31979,unenriched2
31977,207,veillonellaceae,31977,unenriched2
171550,110,rikenellaceae,171550,unenriched2
1300,56,streptococcaceae,1300,unenriched2
128827,44,erysipelotrichaceae,128827,unenriched2
33958,32,lactobacillaceae,33958,unenriched2
171552,32,prevotellaceae,171552,unenriched2
4893,19,saccharomycetaceae,4893,unenriched2
186804,17,peptostreptococcaceae,186804,unenriched2
194924,15,desulfovibrionaceae,194924,unenriched2
171551,15,porphyromonadaceae,171551,unenriched2
675071,13,virgaviridae,675071,unenriched2
1570339,8,peptoniphilaceae,1570339,unenriched2
186817,7,bacillaceae,186817,unenriched2
81852,7,enterococcaceae,81852,unenriched2
203492,7,fusobacteriaceae,203492,unenriched2
320583,6,conexibacteraceae,320583,unenriched2
186822,5,paenibacillaceae,186822,unenriched2
766764,5,debaryomycetaceae,766764,unenriched2
186823,5,alicyclobacillaceae,186823,unenriched2
89373,5,cytophagaceae,89373,unenriched2
135621,5,pseudomonadaceae,135621,unenriched2
31957,4,propionibacteriaceae,31957,unenriched2
2062,4,streptomycetaceae,2062,unenriched2
1653,4,corynebacteriaceae,1653,unenriched2
135616,4,piscirickettsiaceae,135616,unenriched2
216572,4,oscillospiraceae,216572,unenriched2
468,3,moraxellaceae,468,unenriched2
712,3,pasteurellaceae,712,unenriched2
83676,3,nocardiopsaceae,83676,unenriched2
267888,3,pseudoalteromonadaceae,267888,unenriched2
69277,3,phyllobacteriaceae,69277,unenriched2
49546,3,flavobacteriaceae,49546,unenriched2
543,3,enterobacteriaceae,543,unenriched2
32033,3,xanthomonadaceae,32033,unenriched2
5654,3,trypanosomatidae,5654,unenriched2
641876,2,elusimicrobiaceae,641876,unenriched2
340080,2,parameciidae,340080,unenriched2
558415,2,marinilabiliaceae,558415,unenriched2
189770,2,chrysiogenaceae,189770,unenriched2
191394,2,deferribacteraceae,191394,unenriched2
563835,2,chitinophagaceae,563835,unenriched2
200667,2,flammeovirgaceae,200667,unenriched2
213119,2,desulfobacteraceae,213119,unenriched2
543372,2,thermoanaerobacterales family iv. incertae sedis,543372,unenriched2
539000,2,clostridiales family xvii. incertae sedis,539000,unenriched2
267894,2,psychromonadaceae,267894,unenriched2
137,2,spirochaetaceae,137,unenriched2
119045,2,methylobacteriaceae,119045,unenriched2
83763,2,succinivibrionaceae,83763,unenriched2
2236,2,halobacteriaceae,2236,unenriched2
2049,2,actinomycetaceae,2049,unenriched2
76892,2,caulobacteraceae,76892,unenriched2
942,2,anaplasmataceae,942,unenriched2
5148,2,sordariaceae,5148,unenriched2
82115,2,rhizobiaceae,82115,unenriched2
90964,2,staphylococcaceae,90964,unenriched2
92713,2,parachlamydiaceae,92713,unenriched2
41295,2,rhodospirillaceae,41295,unenriched2
506,1,alcaligenaceae,506,unenriched2
481,1,neisseriaceae,481,unenriched2
909930,1,acidaminococcaceae,909930,unenriched2
1198451,1,methanoregulaceae,1198451,unenriched2
2012,1,thermomonosporaceae,2012,unenriched2
2070,1,pseudonocardiaceae,2070,unenriched2
543314,1,clostridiales family xiii. incertae sedis,543314,unenriched2
72275,1,alteromonadaceae,72275,unenriched2
28056,1,micromonosporaceae,28056,unenriched2
41297,1,sphingomonadaceae,41297,unenriched2
186820,1,listeriaceae,186820,unenriched2
74712,1,frankiaceae,74712,unenriched2
213422,1,geobacteraceae,213422,unenriched2
213421,1,desulfuromonadaceae,213421,unenriched2
204431,1,fibrobacteraceae,204431,unenriched2
196137,1,methanospirillaceae,196137,unenriched2
84566,1,sphingobacteriaceae,84566,unenriched2
84994,1,acidimicrobiaceae,84994,unenriched2
85025,1,nocardiaceae,85025,unenriched2
92712,1,simkaniaceae,92712,unenriched2
541000,3923,ruminococcaceae,541000,VK5rep1
815,3529,bacteroidaceae,815,VK5rep1
9604,1974,hominidae,9604,VK5rep1
186806,1751,eubacteriaceae,186806,VK5rep1
186803,1640,lachnospiraceae,186803,VK5rep1
84107,351,coriobacteriaceae,84107,VK5rep1
31953,218,bifidobacteriaceae,31953,VK5rep1
31979,188,clostridiaceae,31979,VK5rep1
135621,73,pseudomonadaceae,135621,VK5rep1
128827,69,erysipelotrichaceae,128827,VK5rep1
31977,67,veillonellaceae,31977,VK5rep1
171550,44,rikenellaceae,171550,VK5rep1
1300,41,streptococcaceae,1300,VK5rep1
543,41,enterobacteriaceae,543,VK5rep1
33958,17,lactobacillaceae,33958,VK5rep1
194924,16,desulfovibrionaceae,194924,VK5rep1
171552,11,prevotellaceae,171552,VK5rep1
49546,11,flavobacteriaceae,49546,VK5rep1
712,10,pasteurellaceae,712,VK5rep1
4893,7,saccharomycetaceae,4893,VK5rep1
267894,6,psychromonadaceae,267894,VK5rep1
186822,5,paenibacillaceae,186822,VK5rep1
171551,5,porphyromonadaceae,171551,VK5rep1
84994,4,acidimicrobiaceae,84994,VK5rep1
415002,4,puniceicoccaceae,415002,VK5rep1
1570339,4,peptoniphilaceae,1570339,VK5rep1
72293,4,helicobacteraceae,72293,VK5rep1
41297,4,sphingomonadaceae,41297,VK5rep1
2062,4,streptomycetaceae,2062,VK5rep1
649777,3,synergistaceae,649777,VK5rep1
2049,3,actinomycetaceae,2049,VK5rep1
267888,3,pseudoalteromonadaceae,267888,VK5rep1
481,2,neisseriaceae,481,VK5rep1
82115,2,rhizobiaceae,82115,VK5rep1
1328881,2,candidatus midichloriaceae,1328881,VK5rep1
213121,2,desulfobulbaceae,213121,VK5rep1
188709,2,thermotogaceae,188709,VK5rep1
186817,2,bacillaceae,186817,VK5rep1
43219,2,herpotrichiellaceae,43219,VK5rep1
186828,1,carnobacteriaceae,186828,VK5rep1
2259,1,thermococcaceae,2259,VK5rep1
213119,1,desulfobacteraceae,213119,VK5rep1
27994,1,theileriidae,27994,VK5rep1
186804,1,peptostreptococcaceae,186804,VK5rep1
972,1,halanaerobiaceae,972,VK5rep1
641,1,vibrionaceae,641,VK5rep1
589343,1,geminigeraceae,589343,VK5rep1
68298,1,syntrophomonadaceae,68298,VK5rep1
76892,1,caulobacteraceae,76892,VK5rep1
433,1,acetobacteraceae,433,VK5rep1
541000,4720,ruminococcaceae,541000,VK1rep1
815,4594,bacteroidaceae,815,VK1rep1
186806,2164,eubacteriaceae,186806,VK1rep1
186803,2024,lachnospiraceae,186803,VK1rep1
9604,1892,hominidae,9604,VK1rep1
84107,436,coriobacteriaceae,84107,VK1rep1
31953,377,bifidobacteriaceae,31953,VK1rep1
31979,187,clostridiaceae,31979,VK1rep1
31977,108,veillonellaceae,31977,VK1rep1
128827,63,erysipelotrichaceae,128827,VK1rep1
171550,55,rikenellaceae,171550,VK1rep1
1300,46,streptococcaceae,1300,VK1rep1
543,38,enterobacteriaceae,543,VK1rep1
171552,32,prevotellaceae,171552,VK1rep1
171551,22,porphyromonadaceae,171551,VK1rep1
194924,19,desulfovibrionaceae,194924,VK1rep1
49546,17,flavobacteriaceae,49546,VK1rep1
186817,17,bacillaceae,186817,VK1rep1
4893,14,saccharomycetaceae,4893,VK1rep1
563798,14,cyclobacteriaceae,563798,VK1rep1
33958,12,lactobacillaceae,33958,VK1rep1
267894,12,psychromonadaceae,267894,VK1rep1
89373,12,cytophagaceae,89373,VK1rep1
712,11,pasteurellaceae,712,VK1rep1
204431,9,fibrobacteraceae,204431,VK1rep1
186823,8,alicyclobacillaceae,186823,VK1rep1
415002,8,puniceicoccaceae,415002,VK1rep1
1570339,8,peptoniphilaceae,1570339,VK1rep1
216572,7,oscillospiraceae,216572,VK1rep1
481,6,neisseriaceae,481,VK1rep1
433,5,acetobacteraceae,433,VK1rep1
563843,5,rhodothermaceae,563843,VK1rep1
188709,4,thermotogaceae,188709,VK1rep1
90964,3,staphylococcaceae,90964,VK1rep1
589343,3,geminigeraceae,589343,VK1rep1
1653,3,corynebacteriaceae,1653,VK1rep1
186807,3,peptococcaceae,186807,VK1rep1
213121,3,desulfobulbaceae,213121,VK1rep1
186822,3,paenibacillaceae,186822,VK1rep1
2092,3,mycoplasmataceae,2092,VK1rep1
224379,2,hahellaceae,224379,VK1rep1
224372,2,alcanivoracaceae,224372,VK1rep1
2049,2,actinomycetaceae,2049,VK1rep1
203492,2,fusobacteriaceae,203492,VK1rep1
213119,2,desulfobacteraceae,213119,VK1rep1
206349,2,hydrogenophilaceae,206349,VK1rep1
72293,2,helicobacteraceae,72293,VK1rep1
2194,2,methanomicrobiaceae,2194,VK1rep1
265316,2,cyanidiaceae,265316,VK1rep1
2206,2,methanosarcinaceae,2206,VK1rep1
28568,2,trichocomaceae,28568,VK1rep1
1129771,2,leptotrichiaceae,1129771,VK1rep1
1328881,2,candidatus midichloriaceae,1328881,VK1rep1
41295,2,rhodospirillaceae,41295,VK1rep1
255475,2,aurantimonadaceae,255475,VK1rep1
1046,1,chromatiaceae,1046,VK1rep1
809,1,chlamydiaceae,809,VK1rep1
909930,1,acidaminococcaceae,909930,VK1rep1
84642,1,aeromonadaceae,84642,VK1rep1
246874,1,cryomorphaceae,246874,VK1rep1
213422,1,geobacteraceae,213422,VK1rep1
186828,1,carnobacteriaceae,186828,VK1rep1
186820,1,listeriaceae,186820,VK1rep1
32033,1,xanthomonadaceae,32033,VK1rep1
34064,1,francisellaceae,34064,VK1rep1
38749,1,phaeodactylaceae,38749,VK1rep1
143786,1,brachyspiraceae,143786,VK1rep1
135616,1,piscirickettsiaceae,135616,VK1rep1
2070,1,pseudonocardiaceae,2070,VK1rep1
